ID RA DEC MAG MAG_ERR
1504 53.11996200546305 -27.915410083292915 27.709989547729492 30.757251739501953
1507 53.11816171819192 -27.915366441842004 24.430830001831055 30.353727340698242
1512 53.10630196176208 -27.915316142708157 27.104347229003906 30.907175064086914
1537 53.10544654334011 -27.91518974670484 26.262523651123047 30.821218490600586
1546 53.116057313651716 -27.91508959024274 27.359745025634766 30.90804100036621
1547 53.104479489261685 -27.915110126243174 27.454341888427734 30.91179656982422
1548 53.119216726703705 -27.915110465794168 27.99382972717285 30.898204803466797
1560 53.115058865860256 -27.914907863486164 26.73090171813965 30.849369049072266
1563 53.11856181574628 -27.91486022154881 26.1212158203125 30.767545700073242
1579 53.11388782312542 -27.91477092556616 27.209928512573242 30.85313606262207
1587 53.071488729237 -27.914712765109005 27.02056884765625 30.638391494750977
1591 53.10938055364319 -27.914703147806012 27.82144546508789 30.93517303466797
1635 53.10004097439283 -27.914283745738384 25.747116088867188 30.539417266845703
1645 53.071250990565645 -27.914207915093677 26.233993530273438 30.571155548095703
1656 53.12157062803306 -27.914177006992027 27.905048370361328 30.208663940429688
1659 53.07104190036552 -27.914122934162155 26.161584854125977 30.547992706298828
1670 53.11278841003321 -27.914065597259423 27.359182357788086 30.90133285522461
1671 53.10655736355154 -27.91392386822662 25.663360595703125 30.714622497558594
1672 53.11759179008412 -27.914029484949907 26.06842041015625 30.726289749145508
1693 53.122409531442585 -27.91393236669613 27.4602108001709 30.131248474121094
1699 53.11907562184397 -27.91386332445434 27.33481216430664 30.892850875854492
1707 53.109282375858754 -27.9137408268984 27.078397750854492 30.91659164428711
1760 53.11303760947919 -27.913467342897107 27.794677734375 30.93069076538086
1761 53.10104716213819 -27.913469171263415 27.353321075439453 30.764671325683594
1766 53.07236730089383 -27.91344750973921 27.763416290283203 30.669761657714844
1825 53.103724943781 -27.913113792060802 27.985149383544922 30.954591751098633
1870 53.10033359480721 -27.91286576760615 26.330297470092773 30.629913330078125
1902 53.104035304816485 -27.912650695962814 27.16850471496582 30.9199161529541
1904 53.117000397387564 -27.912662528035536 27.583730697631836 30.904781341552734
1910 53.07050488161614 -27.91259936447667 27.765243530273438 30.82696533203125
1913 53.070768549378435 -27.912547443979168 27.50413703918457 30.830459594726562
1923 53.11669442121107 -27.912460848027465 27.94407844543457 30.93362045288086
1934 53.11753671195073 -27.912427580716706 27.92222785949707 30.930587768554688
1941 53.07041976435137 -27.912385917402005 27.98794937133789 30.81678009033203
1947 53.0667353302602 -27.912186348011833 25.665273666381836 30.520971298217773
1950 53.123072663211424 -27.91236431844532 27.216150283813477 30.349882125854492
1970 53.098619341232364 -27.91226556369181 27.59535789489746 30.265689849853516
2003 53.12359408149133 -27.912120853374613 27.99907875061035 30.27819061279297
2045 53.120160155323 -27.911833531995516 26.77548599243164 30.875242233276367
2053 53.0701037902982 -27.911797464956756 27.779373168945312 30.789901733398438
2059 53.11499450085654 -27.911803975366094 27.64711570739746 30.919692993164062
2074 53.121128173808465 -27.911687440028167 27.484081268310547 30.923236846923828
2086 53.12215976075987 -27.911650070635595 27.097274780273438 30.873489379882812
2090 53.06452036343286 -27.91165231725542 27.837921142578125 30.775592803955078
2097 53.074237776788465 -27.91160475171962 26.246200561523438 30.571083068847656
2098 53.107636043121886 -27.911631908463118 26.30462646484375 30.794410705566406
2100 53.11979594122861 -27.91163578153158 27.786041259765625 30.906877517700195
2111 53.07020815840899 -27.91160708744976 27.92267608642578 30.77639389038086
2129 53.11643289883453 -27.911469032628215 26.97055435180664 30.876142501831055
2140 53.12226329490863 -27.911390357922212 27.590534210205078 30.909358978271484
2150 53.065717948736776 -27.9113616904561 25.593883514404297 30.519018173217773
2157 53.07235836642883 -27.911348510272067 26.87701988220215 30.784442901611328
2217 53.07203693008804 -27.911060274252474 27.06201934814453 30.80061912536621
2244 53.068018559075 -27.911008357128672 27.13846206665039 30.73847198486328
2258 53.09810978124768 -27.91093143898568 27.72871971130371 30.02193832397461
2266 53.06324022293802 -27.910940560310276 27.65559196472168 30.760372161865234
2278 53.10394279645967 -27.910864418445765 27.627370834350586 30.8890438079834
2302 53.06755901373735 -27.91077615071256 27.56348419189453 30.753774642944336
2305 53.035360583961285 -27.910708171168523 27.894237518310547 31.860069274902344
2310 53.03846311015954 -27.910672687120233 26.519367218017578 31.759628295898438
2327 53.10069749518994 -27.910740133929718 26.70454978942871 30.75629997253418
2332 53.11729420079289 -27.91072119375856 27.947874069213867 30.908611297607422
2357 53.10766890672666 -27.91054609097669 27.074316024780273 30.892457962036133
2363 53.12562229161846 -27.91056638917895 27.304582595825195 29.169004440307617
2368 53.075230682378404 -27.91059454243457 27.044025421142578 30.64298439025879
2369 53.06821027548572 -27.910368526253688 25.758209228515625 30.549808502197266
2370 53.036849883676894 -27.91055182452473 27.742992401123047 31.833803176879883
2375 53.12517910975694 -27.910550545759104 27.18020248413086 30.29425621032715
2395 53.1232839731742 -27.910464242737888 27.534791946411133 30.96060562133789
2403 53.09998271967167 -27.91039949865935 25.421123504638672 30.01825714111328
2438 53.038993901854624 -27.910243122695917 27.365459442138672 31.852190017700195
2442 53.10603443453346 -27.910309106773706 27.845306396484375 30.934659957885742
2453 53.034519592159185 -27.910197695058034 27.481082916259766 31.85338592529297
2454 53.102905050829854 -27.910265107686058 27.415685653686523 30.929500579833984
2461 53.10627731904776 -27.91023577317285 26.791767120361328 30.865718841552734
2470 53.06250730821274 -27.910189423984338 27.796085357666016 30.759639739990234
2474 53.10889122085105 -27.910134037880056 25.826953887939453 30.744998931884766
2501 53.03684474377828 -27.90993021377833 26.08081817626953 31.722217559814453
2502 53.11181701109926 -27.90997699288062 25.56361198425293 30.52189826965332
2514 53.07292654315541 -27.909990273039888 27.633047103881836 30.845447540283203
2520 53.10239670708901 -27.909994688813153 27.985668182373047 30.936738967895508
2525 53.12152784948198 -27.909936287569938 26.723411560058594 30.895832061767578
2540 53.11651216033516 -27.90984155556566 26.696165084838867 30.864696502685547
2579 53.113442763396904 -27.909816625246105 27.777393341064453 30.905460357666016
2594 53.07673427877677 -27.909712371604687 27.444181442260742 30.673301696777344
2601 53.064621655287844 -27.909697447014473 27.880157470703125 30.726032257080078
2610 53.06487572216869 -27.909579937448495 25.319669723510742 30.439563751220703
2611 53.103351330986996 -27.909541318281075 24.487668991088867 30.385818481445312
2618 53.09909744340793 -27.90965754543707 27.37582015991211 30.132980346679688
2620 53.072000233535185 -27.90959821182501 26.216716766357422 30.616596221923828
2625 53.103991457883005 -27.909553204104007 26.462602615356445 30.827068328857422
2636 53.104456820507856 -27.909560932362872 27.665231704711914 30.938060760498047
2642 53.071547981159824 -27.909506160517644 26.1300048828125 30.613231658935547
2657 53.124949323897305 -27.909459131364446 26.53982925415039 30.342849731445312
2658 53.116131681896626 -27.909493015210973 27.638107299804688 30.888158798217773
2665 53.070599100179166 -27.90948394294949 27.855567932128906 30.797327041625977
2683 53.09900024844107 -27.90932588155905 26.42823028564453 30.07023048400879
2698 53.092533674463304 -27.909328329414745 27.083908081054688 30.568645477294922
